,rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
0,P,2013000486155,9,03,11614,4,53,1061971,5.0,18.0,1.0,,6,2,2,2,2,2,,,2,,,,,,2,2,2,2,2,2,2,0.0,60.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,14,120.0,1,0.0,0.0,0.0,6.0,1,6,1,,1,032,999,,2,1,,1,,,2,01,7770,154,091,,11400,053,6,56173   ,1,,0,4250,,120.0,120.0,032,33.0,11400,053,2,2,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,373010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,6.0,7.0,4.0,2.0,7.0,5.0,11.0,9.0,2.0,2.0,10.0,5.0,2.0,10.0,9.0,6.0,7.0,7.0,2.0,6.0,4.0,5.0,6.0,1.0,5.0,6.0,7.0,11.0,2.0,2.0,9.0,4.0,2.0,10.0,9.0,5.0,5.0,6.0,10.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0,2.0,2.0,7.0,9.0,2.0,6.0,9.0,2.0,1.0,5.0,6.0,4.0,9.0,4.0,5.0,6.0,4.0,8.0,6.0,6.0,2.0,2.0,9.0,10.0,1.0,5.0,7.0,1.0,2.0,5.0,5.0,4.0
1,P,2013000133070,9,03,11613,4,53,1061971,43.0,18.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,20.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,15,0.0,2,0.0,0.0,10800.0,25.0,1,1,1,,2,051,902,,2,1,,1,,,1,01,8680,080,037,,11600,053,6,722Z    ,1,,0,4060,4,10800.0,10800.0,006,453.0,11600,053,1,2,3,9,68,016,0,0,1,0,2,0,0,1,0,,,,,353022,,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,15.0,15.0,66.0,69.0,15.0,69.0,82.0,27.0,40.0,12.0,56.0,39.0,35.0,38.0,17.0,42.0,51.0,82.0,65.0,53.0,13.0,12.0,60.0,35.0,15.0,54.0,64.0,38.0,63.0,14.0,37.0,38.0,44.0,55.0,12.0,46.0,33.0,81.0,78.0,47.0,66.0,92.0,18.0,47.0,83.0,12.0,10.0,42.0,46.0,55.0,26.0,37.0,49.0,46.0,75.0,47.0,42.0,15.0,12.0,56.0,72.0,77.0,13.0,56.0,73.0,13.0,20.0,36.0,38.0,77.0,36.0,35.0,41.0,58.0,77.0,39.0,45.0,12.0,13.0,50.0
2,P,2014000515149,9,04,11615,4,53,1045195,22.0,18.0,2.0,,1,2,2,2,2,2,,,2,1,,,,,1,2,2,2,2,2,2,0.0,20.0,1.0,01,1,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,10,0.0,1,,15,0.0,1,0.0,0.0,14000.0,35.0,1,1,,2013.0,4,999,999,8,2,1,,1,,,1,01,8680,062,019,2920,11600,053,6,722Z    ,1,,0,4020,,14000.0,14000.0,066,343.0,11500,053,1,2,3,6,45,006,0,1,0,0,1,0,0,0,0,,,,,352010,,2,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,19.0,6.0,24.0,9.0,7.0,34.0,31.0,23.0,25.0,21.0,25.0,7.0,29.0,31.0,20.0,17.0,7.0,37.0,21.0,5.0,21.0,37.0,22.0,43.0,37.0,10.0,7.0,22.0,30.0,24.0,17.0,28.0,7.0,24.0,21.0,20.0,32.0,6.0,21.0,36.0,19.0,6.0,19.0,8.0,7.0,33.0,30.0,24.0,22.0,18.0,27.0,5.0,28.0,31.0,24.0,18.0,7.0,49.0,21.0,5.0,25.0,33.0,26.0,28.0,32.0,13.0,6.0,18.0,35.0,25.0,15.0,30.0,6.0,21.0,20.0,20.0,32.0,9.0,22.0,36.0
3,P,2013001103945,9,04,11610,4,53,1061971,24.0,18.0,1.0,,1,2,2,2,2,2,,,2,1,2,,,,2,2,2,2,2,2,2,0.0,40.0,,02,1,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,10,0.0,1,,14,0.0,2,0.0,0.0,16100.0,37.0,1,3,1,,1,703,999,,2,,,1,,,2,01,8680,138,085,1900,,,6,722Z    ,1,,0,4720,4,16100.0,16100.0,053,117.0,11600,053,2,2,2,6,42,010,0,1,0,0,1,0,0,0,0,,,,,412010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0,37.0,25.0,42.0,22.0,26.0,31.0,19.0,45.0,9.0,6.0,18.0,23.0,21.0,47.0,31.0,8.0,24.0,7.0,25.0,4.0,33.0,28.0,47.0,35.0,23.0,39.0,24.0,33.0,10.0,6.0,29.0,28.0,25.0,34.0,22.0,7.0,17.0,8.0,18.0,6.0,34.0,31.0,28.0,22.0,44.0,40.0,26.0,62.0,7.0,7.0,22.0,27.0,24.0,37.0,22.0,9.0,27.0,7.0,28.0,8.0,39.0,24.0,43.0,21.0,24.0,42.0,21.0,41.0,7.0,11.0,29.0,27.0,24.0,35.0,20.0,8.0,27.0,6.0,28.0
4,P,2013001276635,9,04,11610,4,53,1061971,18.0,17.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,45.0,,05,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,13,0.0,1,0.0,0.0,35000.0,40.0,1,1,1,,4,999,999,,2,,2,1,,,1,01,5590,087,039,,11600,053,6,454111  ,1,1,1,0160,,35000.0,35000.0,053,420.0,11600,053,1,2,3,1,01,001,0,0,0,0,1,0,0,1,1,,,,,113071,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.0,4.0,23.0,14.0,5.0,5.0,19.0,21.0,18.0,13.0,13.0,32.0,19.0,6.0,33.0,17.0,34.0,15.0,4.0,5.0,19.0,33.0,7.0,25.0,26.0,32.0,19.0,20.0,17.0,20.0,20.0,5.0,25.0,28.0,5.0,22.0,5.0,18.0,25.0,32.0,22.0,5.0,32.0,21.0,5.0,6.0,20.0,19.0,14.0,22.0,19.0,37.0,22.0,6.0,26.0,18.0,24.0,16.0,5.0,6.0,15.0,29.0,6.0,14.0,25.0,27.0,16.0,16.0,15.0,19.0,16.0,4.0,16.0,33.0,6.0,16.0,6.0,19.0,30.0,32.0
5,P,2015000237752,9,04,11614,4,53,1035988,18.0,18.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,15.0,2.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,15,0.0,1,0.0,0.0,5200.0,30.0,1,6,1,,2,026,089,,2,2,,1,,,1,01,8680,127,082,,,,6,722Z    ,1,,0,5240,,5200.0,5200.0,053,501.0,11600,053,1,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,434051,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,15.0,19.0,38.0,24.0,15.0,21.0,18.0,43.0,6.0,31.0,17.0,6.0,5.0,5.0,18.0,29.0,5.0,20.0,26.0,21.0,18.0,17.0,5.0,6.0,17.0,18.0,20.0,4.0,38.0,5.0,18.0,31.0,26.0,29.0,19.0,6.0,32.0,16.0,20.0,19.0,14.0,18.0,36.0,30.0,13.0,19.0,18.0,33.0,7.0,28.0,18.0,6.0,5.0,5.0,18.0,38.0,5.0,19.0,17.0,18.0,16.0,19.0,5.0,5.0,18.0,22.0,19.0,6.0,27.0,6.0,21.0,28.0,27.0,26.0,19.0,5.0,36.0,17.0,14.0
6,P,2014000838085,9,05,11611,4,53,1045195,37.0,18.0,5.0,,1,2,2,2,2,2,,,2,1,,,,,2,2,2,2,2,2,2,0.0,15.0,2.0,01,1,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,10,0.0,1,,13,0.0,1,0.0,0.0,18000.0,45.0,1,3,1,2003.0,1,210,999,7,2,2,,1,,,2,02,7770,079,037,1200,11600,053,6,56173   ,2,,0,4250,,18000.0,18000.0,303,275.0,11600,053,2,2,3,8,67,015,0,0,0,0,1,0,1,0,0,,,,,373010,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,39.0,40.0,49.0,19.0,16.0,54.0,35.0,14.0,58.0,64.0,34.0,45.0,15.0,41.0,43.0,40.0,29.0,13.0,36.0,19.0,47.0,71.0,47.0,11.0,16.0,63.0,27.0,12.0,51.0,46.0,38.0,55.0,12.0,33.0,31.0,27.0,45.0,14.0,32.0,44.0,55.0,45.0,50.0,20.0,17.0,44.0,35.0,13.0,75.0,68.0,38.0,32.0,17.0,35.0,48.0,45.0,28.0,10.0,38.0,34.0,45.0,49.0,45.0,14.0,12.0,72.0,31.0,12.0,60.0,40.0,40.0,46.0,13.0,44.0,26.0,26.0,35.0,12.0,45.0
7,P,2015000764847,9,04,11613,4,53,1035988,17.0,16.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,20.0,1.0,01,2,5,,,,,,1,,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,12,0.0,1,0.0,0.0,900.0,40.0,1,5,,,4,999,999,,2,1,2,1,,,1,02,0170,080,037,,,,6,111     ,1,1,1,6050,,900.0,900.0,053,175.0,11600,053,1,2,2,8,67,015,0,0,0,0,1,0,1,0,1,,,,,4520XX,,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,3.0,21.0,5.0,12.0,27.0,17.0,32.0,4.0,14.0,28.0,27.0,20.0,16.0,18.0,16.0,17.0,6.0,19.0,31.0,38.0,25.0,16.0,29.0,16.0,4.0,16.0,6.0,22.0,15.0,4.0,7.0,22.0,17.0,17.0,14.0,16.0,32.0,16.0,6.0,24.0,20.0,15.0,45.0,14.0,5.0,18.0,5.0,25.0,15.0,5.0,6.0,22.0,19.0,17.0,21.0,17.0,27.0,16.0,4.0,4.0,5.0,14.0,6.0,17.0,29.0,17.0,28.0,5.0,14.0,24.0,38.0,15.0,16.0,14.0,20.0,15.0,7.0,15.0,28.0,4.0
8,P,2016000054450,9,07,11615,4,53,1029257,71.0,18.0,1.0,,1,2,2,2,2,2,,,2,1,2,,,,2,2,2,1,2,2,2,0.0,20.0,1.0,01,1,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,12,0.0,1,,14,0.0,2,0.0,0.0,2100.0,28.0,1,6,1,,1,210,999,,2,1,,1,,,1,02,8680,206,121,1200,11600,053,6,722Z    ,1,,0,4720,4,2100.0,2100.0,006,16.0,11600,053,2,1,1,8,67,015,0,0,0,0,1,0,1,0,0,,,,,412010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,57.0,79.0,82.0,71.0,82.0,157.0,113.0,69.0,102.0,63.0,23.0,105.0,123.0,39.0,52.0,71.0,27.0,49.0,179.0,123.0,102.0,53.0,92.0,25.0,47.0,30.0,54.0,62.0,24.0,48.0,95.0,65.0,26.0,71.0,93.0,60.0,92.0,77.0,43.0,26.0,88.0,69.0,83.0,91.0,73.0,94.0,50.0,54.0,107.0,54.0,26.0,130.0,75.0,18.0,110.0,54.0,22.0,98.0,95.0,138.0,84.0,103.0,56.0,24.0,97.0,23.0,83.0,86.0,23.0,93.0,104.0,14.0,28.0,129.0,65.0,69.0,95.0,67.0,23.0
9,P,2015000929126,9,02,11613,4,53,1035988,40.0,18.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,10.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,12,0.0,1,0.0,0.0,6500.0,40.0,1,4,1,,2,032,050,,2,1,,1,,,1,01,4880,276,149,,,,6,44413   ,1,,0,9600,,6500.0,6500.0,053,501.0,11600,053,1,2,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,537051,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,42.0,44.0,34.0,73.0,41.0,12.0,42.0,12.0,12.0,52.0,37.0,75.0,49.0,46.0,70.0,31.0,74.0,14.0,40.0,50.0,35.0,39.0,33.0,11.0,27.0,69.0,34.0,49.0,66.0,15.0,49.0,10.0,49.0,45.0,12.0,40.0,13.0,79.0,51.0,56.0,40.0,44.0,44.0,10.0,34.0,62.0,36.0,49.0,69.0,13.0,44.0,9.0,47.0,40.0,12.0,42.0,11.0,78.0,34.0,10.0,37.0,32.0,33.0,63.0,39.0,14.0,35.0,13.0,14.0,79.0,46.0,71.0,46.0,42.0,75.0,40.0,77.0,12.0,46.0
