,rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
0,P,2013000103566,9,03,11611,4,53,1061971,20.0,17.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,1,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,3,13,13,0.0,2,0.0,0.0,0.0,,3,,2,,2,082,022,,2,,2,6,,,1,01,,,,,,,6,,1,1,1,,4,0.0,0.0,053,270.0,,,1,2,4,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,6.0,6.0,18.0,6.0,20.0,22.0,28.0,17.0,33.0,18.0,34.0,18.0,21.0,7.0,21.0,24.0,7.0,43.0,6.0,21.0,17.0,18.0,5.0,20.0,32.0,6.0,26.0,6.0,19.0,43.0,19.0,33.0,5.0,19.0,27.0,36.0,20.0,19.0,22.0,30.0,7.0,5.0,21.0,7.0,20.0,20.0,36.0,19.0,35.0,24.0,30.0,22.0,25.0,5.0,18.0,17.0,8.0,36.0,5.0,21.0,18.0,19.0,6.0,20.0,37.0,6.0,19.0,7.0,20.0,37.0,18.0,32.0,4.0,17.0,28.0,40.0,18.0,21.0,19.0
1,P,2013000106963,9,03,11612,4,53,1061971,24.0,16.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,12,13,0.0,2,0.0,0.0,0.0,,3,,2,,1,902,999,,2,,7,6,,,1,01,,,,,,,6,,1,7,1,,4,0.0,0.0,053,49.0,,,2,1,1,2,02,002,0,0,1,0,1,0,0,0,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,31.0,47.0,8.0,49.0,44.0,28.0,25.0,6.0,8.0,38.0,22.0,25.0,14.0,27.0,29.0,21.0,16.0,7.0,6.0,23.0,21.0,43.0,9.0,45.0,37.0,26.0,17.0,7.0,9.0,36.0,33.0,29.0,29.0,34.0,22.0,37.0,23.0,8.0,40.0,29.0,20.0,10.0,50.0,5.0,8.0,23.0,30.0,38.0,57.0,9.0,18.0,21.0,26.0,8.0,25.0,21.0,30.0,38.0,39.0,22.0,24.0,6.0,40.0,6.0,6.0,23.0,25.0,57.0,30.0,7.0,25.0,38.0,23.0,7.0,25.0,31.0,19.0,34.0,9.0
2,P,2013000115983,9,03,11614,4,53,1061971,4.0,16.0,5.0,,,2,2,2,2,2,,,2,1,2,,,,2,2,2,1,2,2,2,0.0,,,,1,5,,,,,,1,,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,12,12,0.0,2,0.0,0.0,0.0,,3,,2,2003.0,1,210,999,7,2,,1,6,,,1,02,,,,1200,,,6,,2,4,1,,4,0.0,0.0,303,130.0,,,2,1,1,8,67,015,0,0,0,0,1,0,1,0,1,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,4.0,4.0,6.0,5.0,3.0,5.0,1.0,6.0,1.0,4.0,1.0,1.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,7.0,1.0,2.0,4.0,4.0,6.0,4.0,5.0,3.0,5.0,8.0,4.0,4.0,1.0,2.0,8.0,7.0,1.0,2.0,7.0,4.0,5.0,3.0,2.0,1.0,4.0,1.0,7.0,2.0,10.0,5.0,7.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,7.0,10.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,6.0,8.0,0.0,1.0,7.0,8.0
3,P,2013000121584,9,02,11611,4,53,1061971,19.0,18.0,1.0,,1,2,2,2,2,2,,,2,,,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,15,0.0,1,0.0,0.0,0.0,,2,,2,,4,999,999,,2,,,6,,,1,01,3895,,,,,,6,337     ,1,,0,9130,,0.0,0.0,053,90.0,,,2,1,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,533030,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,39.0,15.0,21.0,35.0,23.0,30.0,7.0,6.0,21.0,15.0,24.0,31.0,23.0,6.0,22.0,7.0,6.0,29.0,16.0,23.0,23.0,21.0,20.0,21.0,17.0,29.0,4.0,6.0,19.0,25.0,22.0,28.0,15.0,5.0,21.0,6.0,5.0,30.0,17.0,22.0,32.0,21.0,26.0,32.0,20.0,32.0,9.0,8.0,14.0,22.0,18.0,31.0,18.0,7.0,27.0,5.0,9.0,27.0,23.0,16.0,23.0,17.0,19.0,33.0,18.0,32.0,5.0,6.0,20.0,17.0,21.0,32.0,17.0,5.0,12.0,7.0,4.0,30.0,21.0
4,P,2013000121584,9,03,11611,4,53,1061971,18.0,18.0,1.0,,,2,2,2,2,2,,,2,,,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,07,0.0,2,14,14,0.0,1,0.0,0.0,0.0,,3,,2,,4,999,999,,2,,,6,,,1,01,,,,,,,6,,1,,0,,,0.0,0.0,053,90.0,,,2,1,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,40.0,16.0,20.0,36.0,24.0,30.0,6.0,5.0,21.0,15.0,25.0,30.0,24.0,7.0,22.0,6.0,6.0,30.0,16.0,22.0,23.0,20.0,20.0,20.0,16.0,28.0,5.0,7.0,18.0,25.0,21.0,28.0,15.0,6.0,21.0,6.0,5.0,30.0,17.0,22.0,32.0,22.0,26.0,32.0,21.0,31.0,8.0,8.0,15.0,22.0,18.0,31.0,18.0,8.0,28.0,5.0,9.0,27.0,23.0,16.0,23.0,18.0,19.0,33.0,18.0,31.0,5.0,5.0,20.0,17.0,21.0,32.0,18.0,5.0,11.0,7.0,3.0,30.0,19.0
5,P,2013000127977,9,03,11612,4,53,1061971,117.0,18.0,1.0,,1,2,2,2,2,2,,,2,1,,,,,1,2,2,2,2,2,2,0.0,10.0,1.0,01,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,16,0.0,1,0.0,0.0,3000.0,40.0,1,6,1,,1,210,999,,2,1,,1,,,1,02,0770,078,037,1200,,,6,23      ,1,,0,6515,,3000.0,3000.0,006,151.0,11500,053,1,2,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,472181,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.0,46.0,111.0,146.0,83.0,116.0,136.0,158.0,97.0,141.0,46.0,126.0,47.0,137.0,121.0,110.0,46.0,40.0,142.0,146.0,45.0,151.0,153.0,123.0,177.0,125.0,38.0,93.0,39.0,118.0,131.0,47.0,161.0,46.0,147.0,204.0,113.0,113.0,127.0,46.0,131.0,170.0,146.0,57.0,98.0,89.0,160.0,35.0,126.0,45.0,139.0,118.0,192.0,93.0,125.0,84.0,162.0,130.0,33.0,114.0,204.0,133.0,43.0,116.0,42.0,38.0,182.0,125.0,153.0,126.0,161.0,156.0,138.0,158.0,28.0,55.0,128.0,116.0,107.0,158.0
6,P,2013000133070,9,03,11613,4,53,1061971,43.0,18.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,20.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,15,0.0,2,0.0,0.0,10800.0,25.0,1,1,1,,2,051,902,,2,1,,1,,,1,01,8680,080,037,,11600,053,6,722Z    ,1,,0,4060,4,10800.0,10800.0,006,453.0,11600,053,1,2,3,9,68,016,0,0,1,0,2,0,0,1,0,,,,,353022,,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,15.0,15.0,66.0,69.0,15.0,69.0,82.0,27.0,40.0,12.0,56.0,39.0,35.0,38.0,17.0,42.0,51.0,82.0,65.0,53.0,13.0,12.0,60.0,35.0,15.0,54.0,64.0,38.0,63.0,14.0,37.0,38.0,44.0,55.0,12.0,46.0,33.0,81.0,78.0,47.0,66.0,92.0,18.0,47.0,83.0,12.0,10.0,42.0,46.0,55.0,26.0,37.0,49.0,46.0,75.0,47.0,42.0,15.0,12.0,56.0,72.0,77.0,13.0,56.0,73.0,13.0,20.0,36.0,38.0,77.0,36.0,35.0,41.0,58.0,77.0,39.0,45.0,12.0,13.0,50.0
7,P,2013000140494,9,05,11611,4,53,1061971,22.0,16.0,1.0,,,2,2,2,2,2,,,2,,,,,,1,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,12,13,0.0,1,0.0,0.0,0.0,,3,,2,,2,720,902,,2,,3,6,,,1,01,,,,,,,6,,1,3,1,,,0.0,0.0,042,235.0,,,1,1,4,9,68,033,0,1,1,0,2,0,0,0,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,22.0,28.0,19.0,19.0,10.0,7.0,26.0,29.0,8.0,21.0,39.0,7.0,8.0,22.0,28.0,36.0,17.0,20.0,24.0,24.0,25.0,40.0,26.0,25.0,5.0,6.0,43.0,32.0,7.0,27.0,32.0,6.0,7.0,20.0,19.0,35.0,24.0,26.0,22.0,17.0,18.0,49.0,18.0,25.0,7.0,6.0,35.0,28.0,6.0,22.0,35.0,6.0,8.0,24.0,18.0,31.0,23.0,23.0,24.0,23.0,31.0,35.0,22.0,22.0,7.0,6.0,39.0,42.0,7.0,20.0,38.0,7.0,8.0,24.0,23.0,32.0,21.0,17.0,22.0
8,P,2013000142655,9,03,11615,4,53,1061971,17.0,18.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,1,2,1,3,0.0,0.0,02,0.0,2,14,15,0.0,1,0.0,0.0,420.0,5.0,1,6,2,,4,999,999,,2,,,3,,,1,01,5295,,,,,,6,45114   ,1,,0,4760,,420.0,420.0,053,501.0,,,1,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,412031,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,17.0,17.0,25.0,25.0,5.0,26.0,19.0,15.0,5.0,5.0,5.0,17.0,17.0,29.0,6.0,16.0,29.0,19.0,19.0,29.0,30.0,30.0,14.0,15.0,18.0,20.0,5.0,27.0,23.0,19.0,17.0,5.0,28.0,16.0,18.0,6.0,16.0,5.0,6.0,15.0,17.0,18.0,5.0,5.0,29.0,4.0,17.0,17.0,24.0,25.0,36.0,20.0,18.0,4.0,26.0,15.0,5.0,19.0,16.0,6.0,6.0,5.0,17.0,19.0,17.0,16.0,26.0,6.0,19.0,18.0,20.0,27.0,5.0,18.0,18.0,31.0,18.0,29.0,28.0,18.0
9,P,2013000149467,9,06,11612,4,53,1061971,33.0,17.0,3.0,,3,2,2,1,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,05,0.0,2,13,14,0.0,2,0.0,0.0,900.0,40.0,1,6,,2010.0,4,999,999,8,1,,8,6,,,2,01,6290,,,,,,6,488     ,1,7,0,1965,4,900.0,900.0,206,345.0,,,2,2,4,6,57,009,0,1,0,0,1,0,0,0,1,,,1,5,1940YY,,4,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,58.0,42.0,60.0,13.0,24.0,49.0,74.0,45.0,48.0,34.0,34.0,29.0,8.0,24.0,58.0,14.0,33.0,10.0,33.0,61.0,11.0,33.0,14.0,59.0,30.0,9.0,7.0,37.0,29.0,39.0,23.0,33.0,53.0,30.0,9.0,50.0,36.0,62.0,42.0,36.0,9.0,34.0,10.0,48.0,40.0,11.0,13.0,28.0,32.0,31.0,34.0,37.0,54.0,38.0,12.0,72.0,32.0,43.0,38.0,8.0,65.0,26.0,53.0,10.0,45.0,67.0,65.0,36.0,37.0,32.0,42.0,35.0,12.0,41.0,54.0,8.0,30.0,10.0,38.0,11.0
