, ,16-18 (%),16-18 Values,19-21 (%),19-21 Values,22-24 (%),22-24 Values,Totals (%),Totals Values
0,Total Population,100,30141.0,100,25486.0,100,30256.0,100,85883.0
1,Opportunity Youth,6,1815.0,16,4083.0,17,5217.0,13,11115.0
2,Working Without Diploma,1,449.0,5,1377.0,5,1589.0,4,3415.0
3,Not an Opportunity Youth,92,27877.0,79,20026.0,78,23450.0,83,71353.0
