, ,16-18 (%),16-18 Values,19-21 (%),19-21 Values,22-24 (%),22-24 Values,Totals (%),Totals Values
0,Opportunity Youth,100,1815.0,100,4083.0,100,5217.0,100,11115.0
1,No Diploma,50,916.0,28,1135.0,27,1391.0,31,3442.0
2,HS or GED,43,781.0,53,2183.0,45,2325.0,48,5289.0
3,"Some College, No Degree",7,118.0,16,649.0,21,1074.0,17,1841.0
4,College Degree (associates+),0,0.0,3,116.0,8,427.0,5,543.0
